name,HH,HH_fam,Fam_child<18,Married,Med_PC_Inc,Population,Male,Female,One_Race,White,Black or AA,Asian,HSgrad,SomeCollege,Assoc_Degree,Bach_Degree,Grad_Prof_degree,Per_HSgradHigher,PerBachorHigher
Alden,3599,2736,1072,2205,34157,10820,5910,4910,10763,9705,913,13,3195,1385,1160,721,439,87.1,14.6
Amherst,48139,29939,13105,24245,30403,121466,57281,64185,119209,101499,6852,9399,14936,12322,7560,20198,21535,94.8,51.7
Aurora,5469,3794,1666,3253,27448,13763,6932,6831,13705,13460,77,116,2291,1544,978,2380,1945,93.1,44
Boston,3196,2342,1012,1877,20810,7975,3718,4257,7921,7907,6,0,2011,963,796,925,731,96.4,29.4
Brant,757,526,177,419,30532,1951,1002,949,1928,1733,14,0,545,238,182,122,94,85.3,15.6
Buffalo,113359,59509,29854,27414,28987,263914,124560,139354,256105,136914,100108,7894,48501,34407,14341,21067,16398,81.1,22.5
Cheektowaga,38511,23154,9297,16658,26722,88563,41971,46592,87423,77981,7142,1261,23420,12495,7619,8036,4017,87.7,19
Clarence,10770,8358,3786,7158,38733,30106,14588,15518,29881,28042,240,1585,4116,2615,2518,4932,5058,95.6,49.7
Colden,1295,976,376,865,28582,3262,1666,1596,3262,3191,2,69,742,458,307,406,371,95.6,32.5
Collins,1855,1106,431,863,23818,6801,4677,2124,6641,5021,980,20,2441,717,493,359,160,76,9.5
Concord,3522,2218,922,1643,27218,8482,4132,4350,8401,8161,48,146,2192,1141,655,821,474,87.6,21.5
Eden,2888,2180,947,1803,27752,7696,3798,3898,7679,7570,3,71,1536,928,918,967,515,91.6,27.9
Elma,4534,3283,1219,2661,27671,11259,5631,5628,11259,10973,284,0,2505,1267,1024,1649,1115,93.1,34
Evans,6678,4551,1715,3791,28834,16441,8000,8441,16182,15846,122,75,4460,2414,1254,1564,1086,90,22.1
Grand Island,7704,5621,2390,4872,34157,20120,9575,10545,19889,18578,373,825,2616,2721,1676,2977,2826,95.2,43.1
Hamburg,23482,15368,6661,12349,30403,56687,27555,29132,56186,54860,766,341,11340,8024,5688,7019,5026,93.4,30.3
Holland,1376,935,289,773,27448,3407,1753,1654,3367,3357,0,0,936,527,337,258,169,90.2,17.3
Lackawanna,8115,4213,1806,2476,20810,18172,8731,9441,17645,15542,1437,32,4531,2204,1178,1134,981,80.4,17
Lancaster,15903,11000,5036,8967,30532,41226,20668,20558,40772,40294,172,136,8817,5094,3717,5383,3221,92.5,30.3
Marilla,1828,1395,631,1233,28987,5349,2675,2674,5307,5307,0,0,1167,771,499,475,232,94.1,21.2
Newstead,3437,2354,1013,1857,26562,8549,4644,3905,8549,8133,25,12,2189,1045,694,859,561,89.1,23.7
North Collins,1352,989,369,776,26722,3512,1685,1827,3505,3444,13,13,1023,345,445,243,204,91.6,18.1
Orchard Park,11337,7977,3602,6729,38733,28819,13651,15168,28645,28226,241,68,4887,3027,2030,4664,4416,94.4,45
Sardinia,985,776,312,683,28582,2755,1343,1412,2739,2732,0,7,830,357,218,186,125,91,16.5
Tonawanda City,6481,4081,1733,2899,23818,15197,7609,7588,14755,14687,5,14,3959,2301,1420,1187,707,89.2,17.6
Tonawanda Town,32261,19085,7364,14609,27218,73812,35298,38514,72684,69163,1698,1168,15944,10184,6017,9795,6536,92.6,31.2
Wales,1228,869,334,724,27752,2990,1520,1470,2958,2901,0,31,661,441,269,377,165,91.6,25.9
West Seneca,18737,12152,4704,9781,27671,44670,21701,22969,44182,43129,462,383,10864,5948,4588,4408,3348,91.3,24.3
